sampled_date;sampling_point;r_sample_point;product;R_NO_ELABORACION;SAMPLE_NUMBER;analysis;name;FORMATTED_ENTRY;PRODUCT_GRADE;STAGE;T_TEST_METHOD;DISPLAY_STRING
2024-06-20 06:00:33.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621091;R-DENSI_15;Densidad a 15ºC;0.9193;ENTRADA;NONE;ASTM_D_4052;g/ml
2024-06-21 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621320;R-DENSI_15;Densidad a 15ºC;0.9198;ENTRADAO600;NONE;ASTM_D_4052;g/ml
2024-06-21 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621320;R-S_RX_PESO;Azufre (% peso);0.235;ENTRADAO600;NONE;ASTM_D_2622;% m/m
2024-06-22 06:00:16.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621523;R-DENSI_15;Densidad a 15ºC;0.9203;ENTRADA;NONE;ASTM_D_4052;g/ml
2024-06-23 06:00:17.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621681;R-DENSI_15;Densidad a 15ºC;0.9193;ENTRADA;NONE;ASTM_D_4052;g/ml
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-CALCI_FO;Calcio;<3;ENTRADAL600;NONE;IP_470;ppm
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DENSI_15;Densidad a 15ºC;0.9188;ENTRADAL600;NONE;ASTM_D_4052;g/ml
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DEST_SIM_HT_SIMDIS;10% m/m;350.0;ENTRADAL600;NONE;ASTM_D_7169;°C
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DEST_SIM_HT_SIMDIS;20% m/m;380.0;ENTRADAL600;NONE;ASTM_D_7169;°C
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DEST_SIM_HT_SIMDIS;30% m/m;401.1;ENTRADAL600;NONE;ASTM_D_7169;°C
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DEST_SIM_HT_SIMDIS;40% m/m;417.6;ENTRADAL600;NONE;ASTM_D_7169;°C
2024-06-24 06:00:27.000;R-CRACKING;NULL;CARGA_CRACKING;NULL;621851;R-DEST_SIM_HT_SIMDIS;5% m/m;324.4;ENTRADAL600;NONE;ASTM_D_7169;°C
