sampled_date
2025-03-02 07:00:49.000
2025-03-04 07:01:44.000
2025-03-06 07:01:24.000
2025-03-09 07:00:48.000
2025-03-13 07:01:49.000
2025-03-16 07:00:51.000
2025-03-18 07:01:08.000
2025-03-20 07:01:39.000
2025-03-23 07:00:52.000
2025-03-25 07:01:11.000
2025-03-27 07:01:27.000
2025-03-30 07:00:52.000
2025-04-01 07:01:37.000
2025-04-03 07:01:39.000
2025-04-06 07:00:58.000
2025-04-08 07:01:23.000
2025-04-10 07:01:21.000
2025-04-13 07:00:36.000
2025-04-15 07:01:22.000
2025-04-17 07:01:46.000
2025-04-20 07:00:56.000
2025-04-22 07:01:42.000
2025-04-24 07:02:01.000
2025-04-27 07:00:54.000
2025-04-29 07:01:36.000
2025-05-01 07:01:46.000
2025-05-04 07:00:49.000
2025-05-06 07:01:43.000
2025-05-08 07:01:54.000
2025-05-11 07:00:49.000
2025-05-13 07:01:48.000
2025-05-15 07:01:40.000
2025-05-18 07:00:26.000
2025-05-20 07:01:37.000
2025-05-22 07:01:45.000
2025-05-25 07:00:34.000
2025-05-27 07:01:07.000
2025-05-29 07:01:48.000
2025-06-01 07:00:40.000
2025-06-03 07:01:33.000
2025-06-05 07:01:47.000
2025-06-08 07:00:47.000
2025-06-10 07:01:33.000
2025-06-12 07:01:34.000
2025-06-15 07:00:57.000
2025-06-17 07:01:25.000
2025-06-19 07:01:49.000
2025-06-22 07:00:48.000
2025-06-24 07:01:06.000
2025-06-26 07:01:46.000
2025-06-29 07:00:24.000
2025-07-01 07:01:12.000
2025-07-03 07:01:16.000
2025-07-04 03:10:19.000
2025-07-06 07:00:28.000
2025-07-08 07:01:15.000
2025-07-10 07:01:19.000
2025-07-13 07:00:53.000
2025-07-15 07:01:13.000
2025-07-17 07:01:42.000
2025-07-20 07:00:37.000
2025-07-22 07:01:36.000
2025-07-24 07:01:29.000
2025-07-27 07:00:38.000
2025-07-29 07:01:33.000
2025-07-31 07:01:52.000
2025-08-03 07:00:24.000
2025-08-05 07:01:41.000
2025-08-07 07:01:38.000
2025-08-10 07:00:43.000
2025-08-12 07:01:19.000
2025-08-14 07:01:25.000
